نام فرآورده	شناسه فرآورده	کد گروه عکس
گیگوز- شیر خشک مخصوص شیرخواران بدو تولد تا 6 ماهگی-قوطی 400 گرمی	2410381318434501	1
گیگوز- شیر خشک کودک مخصوص شیرخواران از 6 تا 12 ماهگی-قوطی 400 گرمی	5601475249578938	2
گیگوز- شیر خشک کودک- کودکان یک سال به بالا	6631790848047645	3
نان- شیر خشک مخصوص شیرخواران ازبدو تولد تا 6 ماهگی-قوطی 400 گرمی	8549710327794154	4
نان-شیر خشک مخصوص شیرخواران از 6 تا 12 ماهگی-قوطی 400 گرمی	4757494930379173	5
نان- شیرخشک مخصوص کودکان بالای یکسال -قوطی 400 گرمی	3500090983092774	6
نان کید- شیر خشک مخصوص کودکان در حال رشد وانیلی-بالای سه سال- قوطی 400 گرمی	7318755843369320	7
نان کید- شیر خشک مخصوص کودکان در حال رشد وانیلی-بالای سه سال- ساشه 24 گرمی	1680508748292546	
نان کید- شیر خشک مخصوص کودکان در حال رشد-بالای سه سال قوطی 400گرمی	2449766948649204	7
اس ام ای	3995250369329795	8
اس ام ای-شیر خشک مخصوص شیرخواران از 6 تا 12 ماهگی-قوطی 400 گرمی	3934408899929575	9
اس ام ای- شیر خشک مخصوص کودکان بالای یک سال-قوطی 400 گرمی	1993716032809377	10
ببلاک -شیرخشک مخصوص شیرخواران از بدو تولد تا شش ماهگی-قوطی 400 گرمی	5259991975566656	11
ببلاک- شیر خشک مخصوص شیرخواران از 6 تا 12ماهگی-قوطی 400 گرمی	9677993197879818	12
ببلاک- شیرخشک کودکان بالای یک سال- قوطی فلزی 400 گرمی	2799029616662915	13
ببلاک مینی- شیرخشک مخصوص شیرخواران از بدو تولد تا شش ماهگی-ساشه 200 گرمی	8082134383646975	
ببلاک مینی- شیر خشک مخصوص شیرخواران از 6 تا 12 ماهگی-ساشه 200 گرمی	5358481536584807	
ببلاک مینی-شیرخشک مخصوص کودکان بالای یک سال محروم از شیر مادر-ساشه200گرمی	7735737058097662	
ببلاک مینی-شیرخشک مخصوص شیرخواران از بدو تولد تا شش ماهگی-ساشه 400 گرمی	4690036231169516	
ببلاک مینی-شیرخشک مخصوص شیرخواران از شش ماهگی تا دوازده ماهگی-ساشه 400 گرمی	1608274280605363	
ببلاک مینی-شیرخشک مخصوص کودکان بالای یک سال محروم از شیر مادر-ساشه 400 گرمی	3680181219537248	
آپتامیل-شیر خشک مخصوص شیرخواران از بدو تولد تا شش ماهگی-قوطی 400 گرمی	1359869863417421	14
آپتامیل- شیر خشک مخصوص شیرخواران از بدو تولد تا شش ماهگی-ساشه 13/8 گرمی	1429451810761330	
آپتامیل- شیر خشک مخصوص شیرخواران از شش تا دوازده ماهگی-قوطی 400 گرمی	8754074932735626	15
آپتامیل- شیر خشک مخصوص شیرخواران از شش تا دوازده ماهگی - ساشه29.4 گرم	3993788582144139	
آپتامیل-شیرخشک مخصوص کودکان بالای یک سال محروم از شیر مادر-قوطی 400 گرمی	3862492787348104	16
