نام ژنریک	کد ژنریک
ACETAZOLAMIDE TABLET ORAL 250 mg	11
ACETYLCHOLINE CHLORIDE INJECTION OPHTHALMIC 1 % 2 mL	15
ACTIVATED PROTHROMBIN COMPLEX (CONCENTRATED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]	19
ACICLOVIR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 mg	22
ALBUMIN (HUMAN) INJECTION, SOLUTION PARENTERAL 20 % 50 mL	27
ALBUMIN (HUMAN) INJECTION, SOLUTION PARENTERAL 5 % 100 mL	28
ALUMINIUM HYDROXIDE SUSPENSION ORAL 320 mg/5mL 240 mL	46
AMINO ACID 10% PAEDIATRIC (1) INJECTION, SOLUTION INTRAVENOUS 8 mg/13 mg/8.51 mg/3.12 mg/3.75 mg/4.4 mg/2.01 mg/9 mg/7.5 mg/4.76 mg/9.3 mg/4.15 mg/0.7 mg/2.3 mg/1.6 mg/9.71 mg/7.67 mg/5.176 mg/2.26 mg/0.4 mg/1 mL/1mL 250 mL	56
AMINO ACID 5% (1) INJECTION, SOLUTION INTRAVENOUS 2.25 mg/4.45 mg/3.5 mg/1.9 mg/2.55 mg/2.05 mg/0.9 mg/2.4 mg/4.6 mg/2.6 mg/6.85 mg/3.95 mg/1.86 mg/0.65 mg/0.36 mg/2.3 mg/1.6 mg/4.45 mg/1.2 mg/0.3 mg/0.43 mg/1 mL/1mL 500 mL	57
AMIODARONE HYDROCHLORIDE INJECTION PARENTERAL 50 mg/1 mL 3 mL	64
AMPHOTERICIN B INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 50 mg	79
COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]	13238
COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]	12544
FACTOR IX INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]	91
FACTOR IX INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]	93
ANTITHYMOCYTE IMMUNOGLOBULIN INJECTION PARENTERAL 50 mg/1mL 5 mL	100
ASPARAGINASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 10000 [iU]	113
BELLADONNA PB ELIXIR ORAL 19.4 ug/6.5 ug/103.7 ug/16.2 mg/5mL 60 mL	135
BIPERIDEN LACTATE INJECTION PARENTERAL 5 mg/1mL	165
BLEOMYCIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 15 [iU]	170
BURN OINTMENT OINTMENT TOPICAL 30 %/50 % 30 g	183
BUSERELIN ACETATE INJECTION PARENTERAL 1 mg/1mL 5.5 mL	185
CALCITONIN INJECTION PARENTERAL 50 [iU]/1mL	194
CALCITRIOL CAPSULE, LIQUID FILLED ORAL 0.25 ug	195
CALCIUM GLUCONATE INJECTION PARENTERAL 10 % 10 mL	200
